#,name,city,niche,phone,instagram,facebook,website_status,open_signal,confidence,status,sources,notes
16,Snipz da Barber (Snipz Barbershop),"Phoenix, AZ",barbershop,(602) 882-6637,@snipz_da_barber,facebook.com/snipzbarbershop,social-only,"Yelp Updated April 2026; active IG 1,423 followers; books via Fresha",high,new,https://www.instagram.com/snipz_da_barber/ | https://www.fresha.com/lvp/snipz-barbershop-north-12th-street-phoenix-q8qM2k,"8941 N 12th St Unit 2. Books via Fresha only, no website."
17,Exclusive Hair Studio,"Phoenix, AZ",barbershop / hair studio,(602) 388-4982,@myexclusivebarberaz,,social-only,"Yelp Updated May 2026; Request-an-Appointment CTA, no website link",high,new,https://www.yelp.com/biz/exclusive-hair-studio-phoenix | https://www.instagram.com/myexclusivebarberaz/,"1635 E Baseline Rd Ste 104. IG + Yelp only, no website."
18,Geki's Sugar & Wax,"Phoenix, AZ",waxing / sugaring,(480) 878-1005,@gekis.sugarandwax,,social-only,Yelp Updated February 2026; active IG reels; Vagaro booking,high,new,https://www.instagram.com/gekis.sugarandwax/ | https://www.vagaro.com/gekissugarandwax,"3240 E Camelback Rd Ste 25. Solo esthetician, Vagaro booking, no website."
19,Idle Hands Tattoo Studio,"San Antonio, TX",tattoo studio,210-267-8848,@idlehandstattoostudiosa,facebook.com/idlehandstattoostudiosa,social-only,Active IG ~12K followers; current hours listed,high,new,https://www.instagram.com/idlehandstattoostudiosa/,"4161 Naco Perrin Blvd. Strong IG, no website. Excellent prospect."
20,Skin to Soul Beauty Bar,"Seminole, FL",esthetician / facials,727-743-4372,@skintosoulbeautybar,facebook.com/61575156689348,linktree-only,FL LLC registered 05/2025; active GlossGenius; new-client promo,high,new,https://www.instagram.com/skintosoulbeautybar/ | https://skintosoul.glossgenius.com/,"GlossGenius subdomain only, no real website. Newly formed, ideal prospect."
21,Blush Nail & Spa,"St. Petersburg, FL",nail salon,(727) 527-7100,@blush.nailspa,facebook.com/blushnailspa2179,social-only,"Yelp Updated June 2026; Vagaro active; ~1,563 IG followers",high,new,https://www.instagram.com/blush.nailspa/ | https://www.yelp.com/biz/blush-nail-and-spa-st-petersburg,"5056 4th St N. Vagaro + walk-ins, no website. Strong prospect."
22,Ghost Fadez Studio,"Tempe, AZ",barbershop,(480) 408-5580,@ghostthebarber_,,weak/one-page,"Yelp Updated March 2026; IG 5,736 followers; recent reviews",high,new,https://www.instagram.com/ghostthebarber_/ | https://www.yelp.com/biz/ghost-fadez-studio-tempe,"933 E Broadway Rd Ste 5. Only a GlossGenius booking page, no real site. Large IG."
23,Queen City Upholstery,"Charlotte, NC",furniture/upholstery repair,(980) 260-3008,@queen_city_upholstery,facebook.com/QueenCityUpholstery,weak/one-page,Yelp updated April 2026; active hours listed,medium,new,https://www.facebook.com/QueenCityUpholstery/ | https://www.yelp.com/biz/queen-city-upholstery-charlotte,Basic Squarespace site — upgrade pitch.
24,Jewelry & Watch Repair at SouthPark,"Charlotte, NC",jewelry/watch repair,704-661-5655,,facebook.com/Jewelryandwatchrepairsouthpark,social-only,Open (mall hours); 187 Birdeye reviews; independent watchmaker,medium,new,https://www.facebook.com/Jewelryandwatchrepairsouthpark/ | https://southparkclt.org/go/jewelry-and-watch-repair,"No website, FB only. Verify IG (none surfaced)."
25,Cakelin's Cakes and Cookies,"Charlotte, NC",custom bakery (home-based),(704) 296-7407,@cakelinscakesandcookies,facebook.com/CakelinsCakesAndCookies,weak/one-page,Yelp updated Nov 2025; active IG/FB,medium,new,https://www.yelp.com/biz/cakelins-cakes-and-cookies-charlotte | https://www.instagram.com/cakelinscakesandcookies/,Only a square.site placeholder. Home-based designer.
26,Hogs 'N' Hunnies BBQ,"Columbus, OH",food truck (BBQ),(740) 808-3363,@hogsnhunniesbbq,facebook.com/hogsnhunniesbbq,social-only,Yelp updated Feb 2026; active IG; recent Columbus Foodies review,medium,new,https://streetfoodfinder.com/hogsnhunniesbbq | https://www.instagram.com/hogsnhunniesbbq/,Serves Columbus metro events/catering. No website.
27,614 Fully Loaded,"Grove City, OH",food truck (loaded potatoes),(614) 381-3428,,facebook.com/p/614-Fully-Loaded-100089068070246,social-only,"Featured in 614NOW must-try food trucks 2025; FB ~7,000 likes",medium,new,https://614now.com/2025/food-drink/our-list-of-16-must-try-food-trucks-for-the-summer | https://www.facebook.com/p/614-Fully-Loaded-100089068070246/,"Owner Danielle Reed. FB-first, no website. Verify IG before pitch."
28,El TUZO TACO,"Lewis Center, OH",food truck (tacos),(614) 483-7837,,facebook.com/p/El-TUZO-TACO-100028153466629,social-only,"Yelp updated Feb/May 2026, 32+ reviews; active on StreetFoodFinder",medium,new,https://www.yelp.com/biz/el-tuzo-taco-lewis-center | https://www.facebook.com/p/El-TUZO-TACO-100028153466629/,FB + StreetFoodFinder only; no website.
29,I Woke Up Like This (Lauren),"Mesa, AZ",lash & brow studio,(480) 678-9957,@iwokeuplikethis_lashes,,social-only,Active 2025 IG posts; Yelp listing exists,medium,new,https://www.instagram.com/iwokeuplikethis_lashes/ | https://www.yelp.com/biz/i-woke-up-like-this-mesa-4,"Inside Bare Beauty, 2135 E University Dr. Books via IG DM, no website. Verify phone on call."
30,Club Tanning Mesa,"Mesa, AZ",tanning / wellness studio,(480) 894-4052,@club_tanning_mesa,facebook.com/Club-Tanning-101613448444759,weak/one-page,Active Yelp; ~114 Google reviews 4.8; on ClassPass,medium,new,https://www.instagram.com/club_tanning_mesa/ | https://www.yelp.com/biz/club-tanning-mesa-3,"1925 E Brown Rd Ste A2. Thin existing site (clubtanningmesa.com) — 'replace weak site' lead, lower priority."
31,Sabor Latino Restaurante y Pupuseria,"Murfreesboro, TN",Salvadoran restaurant,(615) 983-1883,,facebook.com/sabor.latino.221467,social-only,Yelp Updated June 2026; recent Yelp/UberEats listings,medium,new,https://www.yelp.com/biz/sabor-latino-murfreesboro | https://www.facebook.com/sabor.latino.221467/,1935 S Church St. res-menu page + FB only. Verify exact FB page.
32,Taste of Africa,"Nashville, TN",West African food truck,(615) 802-8449,@thetasteofafrica_nashville,facebook.com/Thetasteofafricanashville,social-only,FB 100% recommend (33 reviews); active IG reels,medium,new,https://www.instagram.com/thetasteofafrica_nashville/ | https://www.facebook.com/Thetasteofafricanashville/,"'Text or call to preorder' — callable. IG + FB only, no website."
33,SoulFood Kitchen,"Nashville, TN",soul food truck / catering,(615) 593-1906,,facebook.com/SoulFoodKitchenn,social-only,Yelp Updated February 2026; FB 'Always open'; active StreetFoodFinder,medium,new,https://www.yelp.com/biz/soul-food-kitchen-nashville | https://www.facebook.com/SoulFoodKitchenn/,3918 Dickerson Pike. FB + StreetFoodFinder only. Verify IG.
34,J.Darwings,"Nashville, TN",wings / Tex-Mex food truck,(615) 947-5278,,facebook.com/p/JDarwings-61556421441916,social-only,Yelp Updated March 2026; active StreetFoodFinder schedule,medium,new,https://www.yelp.com/biz/j-darwings-nashville | https://www.facebook.com/p/JDarwings-61556421441916/,1814 B Nolensville Pike. FB + StreetFoodFinder + Toast link only. Verify IG.
35,San Antonio Mobile Pet Spa,"San Antonio, TX",pet groomer (mobile),210-835-7055,,facebook.com/sanantoniomobile,social-only,Active Facebook page with posts; listed among current San Antonio mobile groomers in 2025 results,medium,new,https://www.facebook.com/sanantoniomobile/,"Mobile groomer, Facebook-only, no website. Phone is text-to-book."
36,J&A Mobile Auto Detailing,"San Antonio, TX",auto detailing (mobile),210-317-7993,,facebook.com/JAMobileautodetailing,social-only,Yelp listing Updated March 2026; active Facebook page,medium,new,https://www.facebook.com/JAMobileautodetailing/,"Facebook-only, no real website."
37,Xtreme Auto Detailing,"San Antonio, TX",auto detailing (mobile),210-316-2897,,facebook.com/mobileXTREMEautodetailing,social-only,Active Facebook + TikTok; Nextdoor favorites,medium,new,https://www.facebook.com/mobileXTREMEautodetailing/,"FB/TikTok only, no website. Alt number 210-442-7325 on Yelp."
38,La Esquina Food Park & Bar,"San Antonio, TX",food truck park,210-459-3621,@laesquinafoodsatx,facebook.com/laesquinasatx,social-only,Yelp Updated March 2026; recent IG posts; current hours,medium,new,https://www.instagram.com/laesquinafoodsatx/,"1120 Gillette Blvd. IG/FB only, no website."
39,In Bloom,"San Antonio, TX",vintage retail,210-712-8406,@inbloom.satx,,social-only,"Featured in SA Current vintage roundup; active IG ~4,300 followers",medium,new,https://www.instagram.com/inbloom.satx/,"9503 Southton Rd. IG-only, no website."
40,Growing TX Greens Emporium,"San Antonio, TX",plant shop,210-564-4010,@growing.tx.greens,facebook.com/p/Growing-Tx-Greens-Emporium-61556795169183,social-only,Yelp Updated May 2026 with current hours; active FB/TikTok,medium,new,https://www.yelp.com/biz/growing-tx-greens-emporium-san-antonio,"2314 S Flores St. FB/IG/TikTok only, no website."
41,210 Family Mobile Mechanic,"San Antonio, TX",auto repair (mobile),210-454-9883,,facebook.com/210familymobilemechanic,social-only,BBB profile + Nextdoor + recent recommendations; YouTube channel,medium,new,https://www.facebook.com/210familymobilemechanic/,Text-to-book. FB/YouTube only. Some 2024 BBB complaints.
42,Eye Candy Lash Studio,"St. Petersburg, FL",lash extensions,727-902-6222,@eyecandylashstudio.stpete,facebook.com/61574784000662,weak/one-page,"Yelp 5.0, review May 2025; listing Updated January 2026",medium,new,https://www.instagram.com/eyecandylashstudio.stpete/ | https://www.yelp.com/biz/eye-candy-lash-studio-st-petersburg,11189 54th Ave N. Thin one-pager (eyecandylash.studio) — redesign pitch.
43,Torres Facial Co.,"Clearwater, FL",esthetician / facials,727-481-7158,,,linktree-only,Active GlossGenius; ClassPass Clearwater facial listing,low,new,https://torresfacialco.glossgenius.com/ | https://classpass.com/search/clearwater-fl/facial,Esthetician Waleska. CAUTION: no social handle surfaced — verify IG/FB before contacting.
44,The Light Meeting House,"Columbus, OH",coffee bar & cafe,(888) 987-6866,@thelightmeetinghouse,facebook.com/p/thelightmeetinghouse-61572986206668,social-only,"Opened June 2025; Yelp updated June 2026, 18 reviews; active IG/FB",low,new,https://www.instagram.com/thelightmeetinghouse/ | https://www.yelp.com/biz/the-light-meeting-house-columbus-2,"No website; IG/FB only — ideal prospect. CAUTION: phone is toll-free/app number, not confirmed local line — verify before calling."
45,The Lash Effect,"Mesa, AZ",lash studio,(503) 753-5360,,,weak/one-page,Yelp Updated October 2025; Request-an-Appointment CTA; accepting new clients,low,new,https://www.yelp.com/biz/the-lash-effect-mesa,1061 N Dobson Rd Unit 110. Bare Square.site one-pager. CAUTION: phone is 503 (Oregon) area code — verify before calling.
46,Lash Altar,"St. Petersburg, FL",lash & brow artist,727-303-9989,@lashaltar,,linktree-only,Active GlossGenius + live IG; no dated 2025/26 review surfaced,low,new,https://www.instagram.com/lashaltar/ | https://lashaltar.glossgenius.com/,"Artist Lathasa. GlossGenius only, no website. Confirm recent activity before calling."
47,Glow Diamond LLC,"St. Petersburg, FL",esthetician / facials,727-265-5448,,,linktree-only,Yelp Updated January 2026; ~40 Google reviews 5-star; GlossGenius + Booksy,low,new,https://glowdiamond.glossgenius.com/ | https://www.yelp.com/biz/glow-diamond-st-petersburg,Esthetician Annette. CAUTION: no IG/FB handle surfaced — confirm social before outreach.
48,All Cutz Barber Shop,"St. Petersburg, FL",barbershop,(727) 824-7036,,,none,Yelp Updated June 2026 with current hours,low,new,https://www.yelp.com/biz/all-cutz-barber-shop-saint-petersburg,3917 6th St S; owner Melvin Hannah. No website. CAUTION: no IG/FB surfaced — verify social before outreach.
49,Posh Nailz (poshnailz_),"Tempe, AZ",nail tech (independent),480-937-5366,@poshnailz_,,social-only,"Active 2024-2025 IG reels with text-to-book caption; 5,811 followers",low,new,https://www.instagram.com/poshnailz_/ | https://www.instagram.com/poshnailz_/reel/DBhHOg3SIYN/,"Books by text only, no website. CAUTION: two number variants surfaced (480-937-5366 vs 480-973-5366) — confirm before calling."
